origin,destination,N,credit,pop.destination,pop.origin,rate.of.destpop,rate.of.origpop,SMvR.by.origin.fitted,SMvR.by.destination.fitted,Nmin,N.lower,N.upper,rate.of.destpop.lower,rate.of.destpop.upper,rate.of.origpop.lower,rate.of.origpop.upper
Boston_Allston/Brighton,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",,All,55232,75009,,,0,0,0,,,,,,
Boston_Allston/Brighton,Boston_Charlestown,205,All,16439,75009,12.470344911491,2.73300537268861,3.49822555094468,1.22248940344651,205,203,207,10.470344911491,14.470344911491,0.733005372688611,4.73300537268861
Boston_Allston/Brighton,Boston_Dorchester,159,All,128863,75009,1.23386852704035,2.11974563052434,0.346129191969795,0.829750992425946,159,157,161,-0.766131472959655,3.23386852704035,0.119745630524337,4.11974563052434
Boston_Allston/Brighton,Boston_East Boston,157,All,40517,75009,3.87491670163141,2.09308216347372,1.08700542844958,0.684600331155128,157,155,159,1.87491670163141,5.87491670163141,0.0930821634737167,4.09308216347372
Boston_Allston/Brighton,Boston_Fenway,,All,46678,75009,,,0,0,0,,,,,,
Boston_Allston/Brighton,Boston_Hyde Park,122,All,34486,75009,3.53766745925883,1.62647149008786,0.992399070319311,0.725979197688355,122,120,124,1.53766745925883,5.53766745925883,-0.373528509912144,3.62647149008786
Boston_Allston/Brighton,Boston_Jamaica Plain,147,All,35775,75009,4.10901467505241,1.95976482822061,1.15267542537894,0.674793587351961,147,145,149,2.10901467505241,6.10901467505241,-0.0402351717793865,3.95976482822061
Boston_Allston/Brighton,Boston_Mattapan,110,All,22082,75009,4.98143284122815,1.46649068778413,1.39740927529933,0.68356304144168,110,108,112,2.98143284122815,6.98143284122815,-0.533509312215867,3.46649068778413
Boston_Allston/Brighton,Boston_Roslindale,130,All,26808,75009,4.84929871680096,1.73312535829034,1.36034254029692,0.702384048937574,130,128,132,2.84929871680095,6.84929871680096,-0.266874641709661,3.73312535829034
Boston_Allston/Brighton,Boston_Roxbury,226,All,43129,75009,5.24009367247096,3.01297177672013,1.46996973255247,1.03907903988461,226,224,228,3.24009367247096,7.24009367247096,1.01297177672013,5.01297177672013
