origin,destination,flows,pop.destination
Boston_Allston/Brighton,Boston_Allston/Brighton,25225,75954
Boston_Allston/Brighton,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",267,45238
Boston_Allston/Brighton,Boston_Charlestown,,15195
Boston_Allston/Brighton,Boston_Dorchester,93,132393
Boston_Allston/Brighton,Boston_East Boston,,41604
Boston_Allston/Brighton,Boston_Fenway,135,43708
Boston_Allston/Brighton,Boston_Hyde Park,,36604
Boston_Allston/Brighton,Boston_Jamaica Plain,123,33881
Boston_Allston/Brighton,Boston_Mattapan,,23974
Boston_Allston/Brighton,Boston_Roslindale,65,28003
Boston_Allston/Brighton,Boston_Roxbury,,33389
Boston_Allston/Brighton,Boston_South Boston,152,34837
Boston_Allston/Brighton,Boston_South End,107,25242
Boston_Allston/Brighton,Boston_West Roxbury,73,28753
Boston_Allston/Brighton,Brockton_Ward 1,,20218
Boston_Allston/Brighton,Brockton_Ward 5,,13089
Boston_Allston/Brighton,Brockton_Ward 6,,15208
Boston_Allston/Brighton,BRPC_Developing Suburbs,,46115
Boston_Allston/Brighton,BRPC_Regional Urban Centers,,63046
Boston_Allston/Brighton,Cambridge_All,280,101355
Boston_Allston/Brighton,CCC_Developing Suburbs,,21906
Boston_Allston/Brighton,CCC_Maturing Suburbs,,201577
Boston_Allston/Brighton,CCC_Rural Towns,,8267
Boston_Allston/Brighton,Chelsea_Ward 3,,17797
Boston_Allston/Brighton,Chelsea_Ward 4,,17283
Boston_Allston/Brighton,CMRPC_Developing Suburbs,53,308392
Boston_Allston/Brighton,CMRPC_Regional Urban Centers,,30538
Boston_Allston/Brighton,Everett_All,,38037
Boston_Allston/Brighton,Fall River_Sector 2,,16515
Boston_Allston/Brighton,Fall River_Sector 8,,12871
Boston_Allston/Brighton,Fall River_Sector 9,,14922
Boston_Allston/Brighton,Framingham_All,54,66910
Boston_Allston/Brighton,FRCOG_Developing Suburbs,,38925
Boston_Allston/Brighton,FRCOG_Rural Towns,,32610
Boston_Allston/Brighton,ICC_Inner Core,953,417536
Boston_Allston/Brighton,ICC_Maturing Suburbs,,52140
Boston_Allston/Brighton,Lawrence_Ward D,,18315
Boston_Allston/Brighton,Lawrence_Ward E,,12811
Boston_Allston/Brighton,Lowell_Acre,,12072
Boston_Allston/Brighton,Lowell_Centralville,,15808
Boston_Allston/Brighton,Lowell_Lower Belvidere,,33301
Boston_Allston/Brighton,Lowell_Lower Highlands,,11813
Boston_Allston/Brighton,Lowell_Pawtucketville,,14355
Boston_Allston/Brighton,Lynn_Ward 1,,13903
Boston_Allston/Brighton,Lynn_Ward 3,,22132
Boston_Allston/Brighton,Lynn_Ward 4,,17440
Boston_Allston/Brighton,Lynn_Ward 5,,19986
Boston_Allston/Brighton,Lynn_Ward 7,,15589
Boston_Allston/Brighton,MAGIC_Developing Suburbs,,45932
Boston_Allston/Brighton,MAGIC_Maturing Suburbs,52,115604
Boston_Allston/Brighton,Metrowest_Developing Suburbs,,13801
Boston_Allston/Brighton,Metrowest_Maturing Suburbs,97,106807
Boston_Allston/Brighton,Metrowest_Regional Urban Centers,,36255
Boston_Allston/Brighton,MRPC_Developing Suburbs,,104376
Boston_Allston/Brighton,MRPC_Regional Urban Centers,,110984
Boston_Allston/Brighton,MRPC_Rural Towns,,19547
Boston_Allston/Brighton,MVC_Developing Suburbs,,14987
Boston_Allston/Brighton,MVPC_Developing Suburbs,,110116
Boston_Allston/Brighton,MVPC_Regional Urban Centers,,136397
Boston_Allston/Brighton,New Bedford_Neighborhood 2,,19765
