"","X","origin","destination","flows","upper","lower","prob.from.origin","prob.from.destination"
"1",1,"Boston_Allston/Brighton","Boston_Allston/Brighton",33633,34117,33151,NA,NA
"2",2,"Boston_Allston/Brighton","Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",356,395,317,644.427638515175,901.932805163864
"3",3,"Boston_Allston/Brighton","Boston_Charlestown",NA,NA,NA,301.51624971205,447.233599644779
"4",4,"Boston_Allston/Brighton","Boston_Dorchester",124,149,99,22.8326894644841,189.17698652125
"5",5,"Boston_Allston/Brighton","Boston_East Boston",NA,NA,NA,62.6306263183282,240.32472637529
"6",6,"Boston_Allston/Brighton","Boston_Fenway",180,220,149,692.222902398267,1278.86882858939
"7",7,"Boston_Allston/Brighton","Boston_Hyde Park",NA,NA,NA,14.9761989301722,120.809274419283
"8",8,"Boston_Allston/Brighton","Boston_Jamaica Plain",164,191,136,445.254204302566,782.554502192078
"9",9,"Boston_Allston/Brighton","Boston_Mattapan",NA,NA,NA,23.242342063932,126.587505228455
"10",10,"Boston_Allston/Brighton","Boston_Roslindale",87,108,68,246.310233855636,481.432527136104
"11",11,"Boston_Allston/Brighton","Boston_Roxbury",NA,NA,NA,104.843821818635,251.129456468623
"12",12,"Boston_Allston/Brighton","Boston_South Boston",203,232,160,492.289647496285,690.5889998342
"13",13,"Boston_Allston/Brighton","Boston_South End",143,169,102,378.617590486283,545.574392528694
"14",14,"Boston_Allston/Brighton","Boston_West Roxbury",97,117,72,281.706626517356,576.583657675673
"15",15,"Boston_Allston/Brighton","Brockton_Ward 1",NA,NA,NA,-77.5740239511787,-60.0226183559133
"16",16,"Boston_Allston/Brighton","Brockton_Ward 2",0,0,0,-99.9998639815157,-99.999933189968
"17",17,"Boston_Allston/Brighton","Brockton_Ward 4",0,0,0,-99.9999289979699,-99.9999531295933
"18",18,"Boston_Allston/Brighton","Brockton_Ward 5",NA,NA,NA,-77.0380764544386,-62.7453500769175
"19",19,"Boston_Allston/Brighton","Brockton_Ward 6",NA,NA,NA,-43.1366578925386,10.1469784675789
"20",20,"Boston_Allston/Brighton","Brockton_Ward 7",0,0,0,-99.9998957491338,-99.9999443665037
"21",21,"Boston_Allston/Brighton","BRPC_Developing Suburbs",NA,NA,NA,-91.3738482926775,-67.8484628888044
"22",22,"Boston_Allston/Brighton","BRPC_Regional Urban Centers",NA,NA,NA,-86.2638270547367,-23.199719083046
"23",23,"Boston_Allston/Brighton","BRPC_Rural Towns",0,0,0,-99.9999436785176,-99.9999225899495
"24",24,"Boston_Allston/Brighton","Cambridge_All",373,416,328,324.895255187101,790.933259157402
"25",25,"Boston_Allston/Brighton","CCC_Developing Suburbs",NA,NA,NA,-76.4414575530437,-9.10833976445047
"26",26,"Boston_Allston/Brighton","CCC_Maturing Suburbs",NA,NA,NA,-83.3354482691833,-16.2216783712104
"27",27,"Boston_Allston/Brighton","CCC_Rural Towns",NA,NA,NA,-89.4457632066756,-47.3499065717035
"28",28,"Boston_Allston/Brighton","Chelsea_Ward 3",NA,NA,NA,-27.2354576296706,14.9175857369696
"29",29,"Boston_Allston/Brighton","Chelsea_Ward 4",NA,NA,NA,3.54461349764257,53.4589143689732
"30",30,"Boston_Allston/Brighton","CMRPC_Developing Suburbs",71,88,53,-76.9517994163311,-13.0266558741694
"31",31,"Boston_Allston/Brighton","CMRPC_Regional Urban Centers",NA,NA,NA,-96.1628912731364,-90.0313876084527
"32",32,"Boston_Allston/Brighton","Everett_All",NA,NA,NA,-23.7296771946544,43.9162100631042
"33",33,"Boston_Allston/Brighton","Fall River_Sector 1",0,0,0,-99.9998773114128,-99.9999097206042
"34",34,"Boston_Allston/Brighton","Fall River_Sector 2",NA,NA,NA,-92.6027855108903,-84.8047861498035
"35",35,"Boston_Allston/Brighton","Fall River_Sector 5",0,0,0,-99.9998393987908,-99.9999088845868
"36",36,"Boston_Allston/Brighton","Fall River_Sector 7",0,0,0,-99.9999283599033,-99.9998731610083
"37",37,"Boston_Allston/Brighton","Fall River_Sector 8",NA,NA,NA,-72.0608496448348,-53.6168693663498
"38",38,"Boston_Allston/Brighton","Fall River_Sector 9",NA,NA,NA,-77.5091025340625,-61.3214883503433
"39",39,"Boston_Allston/Brighton","Framingham_All",72,88,50,27.5566728836199,222.043506374953
"40",40,"Boston_Allston/Brighton","FRCOG_Developing Suburbs",NA,NA,NA,-96.8996642530676,-89.2775877270655
"41",41,"Boston_Allston/Brighton","FRCOG_Rural Towns",NA,NA,NA,-96.4640344994205,-88.2258660813329
"42",42,"Boston_Allston/Brighton","ICC_Inner Core",1271,1331,1189,304.047841079351,678.690385707352
"43",43,"Boston_Allston/Brighton","ICC_Maturing Suburbs",NA,NA,NA,-46.8113119105565,13.8801733919452
"44",44,"Boston_Allston/Brighton","Lawrence_Ward A",0,0,0,-99.9999037005465,-99.9998340531869
"45",45,"Boston_Allston/Brighton","Lawrence_Ward C",0,0,0,-99.999870130756,-99.9999166250926
"46",46,"Boston_Allston/Brighton","Lawrence_Ward D",NA,NA,NA,-63.9118796170897,-34.3313111399636
"47",47,"Boston_Allston/Brighton","Lawrence_Ward E",NA,NA,NA,-72.6853437090558,-57.247264482017
"48",48,"Boston_Allston/Brighton","Lawrence_Ward F",0,0,0,-99.9998575591558,-99.9999159368637
"49",49,"Boston_Allston/Brighton","Lowell_Acre",NA,NA,NA,-84.440392317362,-77.5524979477751
"50",50,"Boston_Allston/Brighton","Lowell_Centralville",NA,NA,NA,-92.0907846432948,-86.4125679769161
"51",51,"Boston_Allston/Brighton","Lowell_Highlands",0,0,0,-99.9999202648269,-99.9999483646135
"52",52,"Boston_Allston/Brighton","Lowell_Lower Belvidere",NA,NA,NA,-82.131128905498,-67.829930157358
"53",53,"Boston_Allston/Brighton","Lowell_Lower Highlands",NA,NA,NA,-66.4702932351184,-41.3539459242834
"54",54,"Boston_Allston/Brighton","Lowell_Pawtucketville",NA,NA,NA,-76.6691526433204,-57.6600787000622
"55",55,"Boston_Allston/Brighton","Lynn_Ward 1",NA,NA,NA,-77.8186613235867,-57.7305456464181
"56",56,"Boston_Allston/Brighton","Lynn_Ward 3",NA,NA,NA,-77.1538064774239,-60.1080975066758
"57",57,"Boston_Allston/Brighton","Lynn_Ward 4",NA,NA,NA,-58.9255317018052,-42.5242481897228
"58",58,"Boston_Allston/Brighton","Lynn_Ward 5",NA,NA,NA,-76.1160678472989,-59.9544136876214
