"","origin","destination","flows","population"
"1","Boston Allston/Brighton","Boston Downtown",267,45238
"2","Boston Allston/Brighton","Boston Dorchester",93,132393
"3","Boston Allston/Brighton","Boston Fenway",135,43708
"4","Boston Allston/Brighton","Boston Jamaica Plain",123,33881
"5","Boston Allston/Brighton","Boston Roslindale",65,28003
"6","Boston Allston/Brighton","Boston South Boston",152,34837
"7","Boston Allston/Brighton","Boston South End",107,25242
"8","Boston Allston/Brighton","Boston West Roxbury",73,28753
"9","Boston Allston/Brighton","Cambridge All",280,101355
"10","Boston Allston/Brighton","CMRPC Developing Suburbs",53,308392
"11","Boston Allston/Brighton","Framingham All",54,66910
"12","Boston Allston/Brighton","ICC Inner Core",953,417536
"13","Boston Allston/Brighton","MAGIC Maturing Suburbs",52,115604
"14","Boston Allston/Brighton","Metrowest Maturing Suburbs",97,106807
"15","Boston Allston/Brighton","Newton Ward 2",110,24821
"16","Boston Allston/Brighton","Newton Ward 5",58,20214
"17","Boston Allston/Brighton","NSPC Maturing Suburbs",67,161159
"18","Boston Allston/Brighton","Somerville 2143",75,20785
"19","Boston Allston/Brighton","Somerville 2144",122,29483
"20","Boston Allston/Brighton","Somerville 2145",53,27210
"21","Boston Allston/Brighton","SSC Maturing Suburbs",75,198636
"22","Boston Allston/Brighton","TRIC Maturing Suburbs",117,172876
"23","Boston Downtown","Boston Allston/Brighton",187,75954
"24","Boston Downtown","Boston Charlestown",158,15195
"25","Boston Downtown","Boston Dorchester",59,132393
"26","Boston Downtown","Boston Fenway",98,43708
"27","Boston Downtown","Boston Jamaica Plain",61,33881
"28","Boston Downtown","Boston South Boston",192,34837
"29","Boston Downtown","Boston South End",326,25242
"30","Boston Downtown","Cambridge All",263,101355
"31","Boston Downtown","CCC Maturing Suburbs",53,201577
"32","Boston Downtown","ICC Inner Core",416,417536
"33","Boston Downtown","Metrowest Maturing Suburbs",108,106807
"34","Boston Downtown","NSPC Maturing Suburbs",86,161159
"35","Boston Downtown","NSTF Regional Urban Centers",62,158671
"36","Boston Downtown","Somerville 2144",79,29483
"37","Boston Downtown","SSC Maturing Suburbs",128,198636
"38","Boston Downtown","TRIC Maturing Suburbs",81,172876
"39","Boston Charlestown","Boston Downtown",51,45238
"40","Boston Charlestown","ICC Inner Core",131,417536
"41","Boston Charlestown","NSPC Maturing Suburbs",67,161159
"42","Boston Dorchester","Boston Allston/Brighton",63,75954
"43","Boston Dorchester","Boston Downtown",53,45238
"44","Boston Dorchester","Boston Fenway",59,43708
"45","Boston Dorchester","Boston Hyde Park",210,36604
"46","Boston Dorchester","Boston Jamaica Plain",102,33881
"47","Boston Dorchester","Boston Mattapan",230,23974
"48","Boston Dorchester","Boston Roslindale",104,28003
"49","Boston Dorchester","Boston Roxbury",299,33389
"50","Boston Dorchester","Boston South Boston",99,34837
"51","Boston Dorchester","Boston South End",111,25242
"52","Boston Dorchester","Boston West Roxbury",59,28753
"53","Boston Dorchester","Cambridge All",64,101355
"54","Boston Dorchester","ICC Inner Core",213,417536
"55","Boston Dorchester","ICC Maturing Suburbs",80,52140
"56","Boston Dorchester","OCPC Developing Suburbs",94,184584
"57","Boston Dorchester","Quincy North Quincy",63,17172
"58","Boston Dorchester","Quincy Quincy Center",89,15681
"59","Boston Dorchester","Quincy South Quincy",133,27277
"60","Boston Dorchester","SSC Maturing Suburbs",268,198636
"61","Boston Dorchester","TRIC Maturing Suburbs",247,172876
"62","Boston East Boston","Everett All",52,38037
"63","Boston East Boston","ICC Inner Core",430,417536
"64","Boston Fenway","Boston Allston/Brighton",166,75954
"65","Boston Fenway","Boston Downtown",155,45238
