"","FinalGeog.merged","combinednames","pop.2010","pop.2000"
"1","Boston_Allston/Brighton","Boston Allston/Brighton",75009,80013
"2","Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston Downtown",55232,44426
"3","Boston_Charlestown","Boston Charlestown",16439,15195
"4","Boston_Dorchester","Boston Dorchester",128863,130694
"5","Boston_East Boston","Boston East Boston",40517,41200
"6","Boston_Fenway","Boston Fenway",46678,35263
"7","Boston_Hyde Park","TRIC Inner Core and Boston Hyde Park",34486,37734
"8","Boston_Jamaica Plain","Boston Jamaica Plain",35775,30990
"9","Boston_Mattapan","Boston Mattapan",22082,22989
"10","Boston_Roslindale","Boston Roslindale",26808,31184
"11","Boston_Roxbury","Boston Roxbury",43129,40766
"12","Boston_South Boston","Boston South Boston",37911,29438
"13","Boston_South End","Boston South End",30100,23272
"14","Boston_West Roxbury","Boston West Roxbury",30445,26956
"15","BRPC_Developing Suburbs","BRPC Developing Suburbs",44302,46084
"16","BRPC_Regional Urban Centers","BRPC Regional Urban Centers",60865,63040
"17","BRPC_Rural Towns","BRPC Rural Towns",26052,25829
"18","Cambridge_All","Cambridge All",105162,101082
"19","CMRPC_Developing Suburbs","CMRPC Developing Suburbs",335823,306131
"20","CMRPC_Regional Urban Centers","CMRPC Regional Urban Centers",30526,30511
"21","Everett_All","Everett All",41667,38145
"22","Framingham_All","Framingham All",68318,66740
"23","FRCOG_Developing Suburbs","FRCOG Developing Suburbs",38857,38865
"24","FRCOG_Rural Towns","FRCOG Rural Towns",32515,32670
"25","ICC_Inner Core","ICC Inner Core",430701,425922
"26","ICC_Maturing Suburbs","ICC Maturing Suburbs",53631,52221
"27","MAGIC_Developing Suburbs","MAGIC Developing Suburbs",49322,46114
"28","MAGIC_Maturing Suburbs","MAGIC Maturing Suburbs",118433,115545
"29","Metrowest_Developing Suburbs","Metrowest Developing Suburbs",13547,13841
"30","Metrowest_Maturing Suburbs","Metrowest Maturing Suburbs",111603,106882
"31","Metrowest_Regional Urban Centers","Metrowest Regional Urban Centers",38499,36192
"32","MRPC_Developing Suburbs","MRPC Developing Suburbs",111409,104875
"33","MRPC_Regional Urban Centers","MRPC Regional Urban Centers",111476,110379
"34","MRPC_Rural Towns","CMRPC and MRPC Rural Towns",22894,22529
"35","MVPC_Regional Urban Centers","MVPC Regional Urban Centers",141833,136544
"36","New Bedford_Neighborhood 1","New Bedford Neighborhood 1",18994,18315
"37","New Bedford_Neighborhood 2","New Bedford Neighborhood 2",20842,19830
"38","New Bedford_Neighborhood 3","New Bedford Neighborhood 3",19372,19117
"39","New Bedford_Neighborhood 4","New Bedford Neighborhood 4",16111,16783
"40","New Bedford_Neighborhood 5","New Bedford Neighborhood 5",19753,14471
"41","NMCOG_Developing Suburbs","NMCOG Developing Suburbs",77376,74654
"42","NMCOG_Maturing Suburbs","NMCOG Maturing Suburbs",103006,101820
"43","NSPC_Maturing Suburbs","NSPC Maturing Suburbs",165801,161006
"44","NSPC_Regional Urban Centers","NSPC Regional Urban Centers",38120,37313
"45","NSTF_Developing Suburbs","NSTF Developing Suburbs",56482,49200
"46","NSTF_Maturing Suburbs","NSTF Maturing Suburbs",63498,48724
"47","NSTF_Regional Urban Centers","NSTF Regional Urban Centers",160882,151090
"48","OCPC_Developing Suburbs","OCPC Developing Suburbs",196341,184884
"49","PVPC_Developing Suburbs","PVPC Developing Suburbs",183765,177328
"50","PVPC_Maturing Suburbs","PVPC Maturing Suburbs",15784,15766
"51","PVPC_Regional Urban Centers","PVPC Regional Urban Centers",245055,239822
"52","PVPC_Rural Towns","PVPC Rural Towns",23906,23763
"53","Somerville_2143","Somerville 2143",20535,21018
"54","Somerville_2144","Somerville 2144",29409,29643
"55","Somerville_2145","Somerville 2145",25810,27061
"56","Springfield_East Forest Park","Springfield East Forest Park",10238,10606
"57","Springfield_Forest Park","Springfield Forest Park",25161,24725
"58","Springfield_Pine Point","Springfield Brightwood, Memorial Square and Pine Point",19507,19221
"59","Springfield_Sixteen Acres","Springfield Sixteen Acres",22735,22908
"60","SRPEDD_Developing Suburbs","SRPEDD Developing Suburbs",291925,268715
"61","SRPEDD_Maturing Suburbs","SRPEDD Maturing Suburbs",23184,22351
"62","SRPEDD_Regional Urban Centers","SRPEDD Regional Urban Centers",117632,115933
"63","SSC_Developing Suburbs","SSC Developing Suburbs",43578,41958
"64","SSC_Maturing Suburbs","SSC Maturing Suburbs",205187,198730
"65","SWAP_Developing Suburbs","SWAP Developing Suburbs",109836,103827
"66","SWAP_Regional Urban Centers","SWAP Regional Urban Centers",27999,26783
"67","TRIC_Developing Suburbs","TRIC Developing Suburbs",46524,44539
"68","TRIC_Maturing Suburbs","TRIC Maturing Suburbs",176335,173168
"69","TRIC_Regional Urban Centers","TRIC Regional Urban Centers",28602,28596
"70","Worcester_Burncoat","Worcester Burncoat",39294,37356
"71","Worcester_Doherty","Worcester Doherty",63489,59455
"72","Worcester_North","Worcester North",38552,37423
"73","Worcester_South","Worcester South",39710,37860
"74","Brockton_Combined","Brockton",NA,NA
"75","CCC_Combined","Cape Cod",NA,NA
"76","Chelsea_Combined","Chelsea",NA,NA
"77","Fall River_Combined","Fall River",NA,NA
"78","Lawrence_Combined","Lawrence",NA,NA
"79","Lowell_Combined","Lowell",NA,NA
"80","Lynn_Combined","Lynn",NA,NA
"81","MVC_Combined","Marthas Vineyard",NA,NA
"82","MVPC_Suburbs","MVC Suburbs",NA,NA
"83","Newton_Combined","Newton",NA,NA
"84","NPEDC_Developing Suburbs","NPEDC Developing Suburbs",NA,NA
"85","Quincy_Combined","Quincy",NA,NA
"86","Springfield_Boston Road and Indian Orchard","Springfield Boston Rd and Indian Orchard",NA,NA
"87","Springfield_Combined South End","Springfield South End",NA,NA
"88","Springfield_McKnight Bay and Liberty Heights","Springfield Mcknight Bay and Liberty Heights",NA,NA
"89","Springfield_Old and Upper Hill","Springfield Old and Upper Hill",NA,NA
